team,game_number,date_raw,opponent_raw,opponent_matched,home_away,match_confidence
Arizona,6,Oct. 10,Oct.10 at West Virginia Te,West Virginia,away,0.9
Arizona,7,,%Uet.24 lowa state,,home,0.67
Arizona,8,,Nov? TCU,,home,0.0
Arizona,9,Nov. 14,Nov.14 Utah,Utah,home,1.0
Arizona,10,Nov. 2,Nov.2l atKansas State,Kansas State,away,0.86
Arizona,11,Nov. 28,Nov.28 Arizona state,Arizona State,home,1.0
Arizona,12,,ae,,home,0.0
Arizona State,1,,"win column, though",,home,0.0
Arizona State,2,,2026 SCHEDULE,,home,0.0
Arizona State,3,Sept. 5,Sept.5 Morgan State,Georgia State,home,0.8
Arizona State,4,,%ePL!2 at lexas A&M,,away,0.58
Arizona State,5,Sept. 19,sept. 19 vs. Kansas #,Kansas,neutral,1.0
Arizona State,6,Oct. 10,Oct.10 Hawai’,Hawai'i,home,0.77
Arizona State,7,Oct. 17,Oct.17 atTexas Tech,Texas Tech,away,0.91
Arizona State,8,Oct. 24,Oct.24 Kansas State,Kansas State,home,1.0
Arizona State,9,,Uct. JI at BYU,,away,0.0
Arizona State,10,,a vara,,home,0.0
Arizona State,11,,Md OOO du,,home,0.0
Arizona State,12,Nov. 28,Nov.28 atArizona,Arizona,away,0.88
Arizona State,13,,"#London, England",,home,0.0
Arkansas,1,Sept. 5,North Alabama,South Alabama,home,1.0
Arkansas,2,Sept. 12,at Utah,Utah,away,1.0
Arkansas,3,Sept. 19,Georgia,Georgia,home,1.0
Arkansas,4,Sept. 26,Tulsa,Tulsa,home,1.0
Arkansas,5,Oct. 3,at Texas A&M,Texas A&M,away,1.0
Arkansas,6,Oct. 10,Tennessee,Tennessee,home,1.0
Arkansas,7,Oct. 17,at Vanderbilt,Vanderbilt,away,1.0
Arkansas,8,Oct. 31,Missouri,Missouri,home,1.0
Arkansas,9,Nov. 7,at Auburn,Auburn,away,1.0
Arkansas,10,Nov. 14,South Carolina,South Carolina,home,1.0
Arkansas,11,Nov. 21,at Texas,Texas,away,1.0
Arkansas,12,Nov. 28,LSU,LSU,home,1.0
Arkansas State,1,,of former quarterback,,home,0.0
Arkansas State,2,,in the past two,,home,0.0
Arkansas State,3,,consecutive bowl,,home,0.0
Arkansas State,4,,to Raynor and rebuilding,,home,0.0
Arkansas State,5,,2026 SCHEDULE,,home,0.0
Arkansas State,6,Sept. 5,Sept.5 atMemphis,Memphis,away,0.88
Arkansas State,7,Sept. 12,Sept.12 West Georgia,,home,0.74
Arkansas State,8,,Sept. | 19 at TCU,,away,0.0
Arkansas State,9,,tas,,home,0.57
Arkansas State,10,,Qet3 atLouisiana,,away,0.72
Arkansas State,11,Oct. 8,Oct.8 South Alabama,South Alabama,home,1.0
Arkansas State,12,,I? Miss,,home,0.67
Arkansas State,13,,OCL atSouthern,,away,0.67
Army,1,Sept. 5,Bryant,,home,
Army,2,Sept. 12,South Florida,South Florida,home,1.0
Army,3,Sept. 26,at Temple,Temple,away,1.0
Army,4,Oct. 3,at Louisiana Tech,Louisiana Tech,away,1.0
Army,5,Oct. 10,Tulane,Tulane,home,1.0
Army,6,Oct. 17,Florida Atlantic,Florida Atlantic,home,1.0
Army,7,Oct. 23,at Tulsa,Tulsa,away,1.0
Army,8,Oct. 31,at Memphis,Memphis,away,1.0
Army,9,Nov. 7,Air Force,Air Force,home,1.0
Army,10,Nov. 21,East Carolina,East Carolina,home,1.0
Army,11,Nov. 28,at Rice,Rice,away,1.0
Army,12,Dec. 12,vs. Navy #,Navy,neutral,1.0
Auburn,1,Sept. 5,Sept.5 vs. Baylor #,Baylor,neutral,1.0
Auburn,2,Sept. 12,Sept.12 Southern Miss,Southern Miss,home,1.0
Auburn,3,,Sept. Florida,South Florida,home,0.8
Auburn,4,Sept. 26,Sept.26 Vanderbilt,Vanderbilt,home,1.0
Auburn,5,Oct. 3,Uct.3 at Tennessee,Tennessee,away,1.0
Auburn,6,,Sct? at Georgia,,away,0.74
Auburn,7,,Oct-24 LSU,,home,0.0
Auburn,8,Oct. 31,Oct.31 atOle Miss,Ole Miss,away,0.89
Auburn,9,,a Mec,,home,0.0
Auburn,10,,i meee aa,,home,0.0
Auburn,11,Nov. 21,Nov. 21 Samford,Stanford,home,0.8
Auburn,12,Nov. 28,Nov.28 at Alabama,Alabama,away,1.0
Auburn,13,,#Atlanta,,home,0.57
BYU,1,Sept. 5,Sept.5 Utah Tech,,home,0.74
BYU,2,,Sept.l2 Arizona,,home,0.64
BYU,3,,a — State,,home,0.74
BYU,4,Oct. 10,Uct.10 lowa state,Iowa State,home,0.9
BYU,5,,Qet17 NotreDame,,home,0.72
BYU,6,Oct. 24,Oct.24 atUCr,,away,0.0
BYU,7,Oct. 31,Oct.31 Arizona State,Arizona State,home,1.0
BYU,8,,NOWF atUtan,,away,0.0
BYU,9,Nov. 14,Nov.14 Baylor J,Baylor,home,0.86
BYU,10,Nov. 21,Nov.21 at Kansas,Kansas,away,1.0
BYU,11,Nov. 28,Nov.28 Cincinnati,Cincinnati,home,1.0
BYU,12,,= EAM INFORMATION,,home,0.0
Ball State,1,Sept. 5,Sept.5 at Ohio State,Ohio State,away,1.0
Ball State,2,Sept. 12,Sept.12 Stony Brook,,home,0.0
Ball State,3,Sept. 19,Sept.19 atLiberty,Liberty,away,0.88
Ball State,4,Sept. 26,Sept.26 at hentotate,,away,0.74
Ball State,5,,ee Toledo,Toledo,home,0.8
Ball State,6,Oct. 10,Oct10 atNorthwestern,Northwestern,away,0.92
Ball State,7,Oct. 17,Oct.17 atBowling | Green,Bowling Green,away,0.93
Ball State,8,Oct. 24,Uct.24 Sacramento state,Sacramento State,home,1.0
Ball State,9,Nov. 4,Nov.4 atUMass,UMass,away,0.83
Ball State,10,,Novll Buttalo,,home,0.0
Ball State,11,Nov. 17,Nov.17 atOhio,Ohio,away,0.8
Ball State,12,Nov. 28,Nov.28 Central Michigan,Central Michigan,home,1.0
Baylor,1,Sept. 5,sept.5 vs. Auburn #,Auburn,neutral,1.0
Baylor,2,Sept. 12,sept. 12 Prairie View A&M,,home,0.0
Baylor,3,Sept. 19,sept. 19 Louisiana Tech,Louisiana Tech,home,1.0
Baylor,4,Sept. 26,sept. 26 Colorado,Colorado,home,1.0
Baylor,5,Oct. 3,Oct.3 atArizona State,Arizona State,away,0.93
Baylor,6,,oe,,home,0.0
Baylor,7,Oct. 24,Oct.24 atKansas,Kansas,away,0.86
Baylor,8,Oct. 31,Uct.31 at UCT,,away,0.67
Baylor,9,Nov. 7,Nov.7 lowa State,Iowa State,home,0.9
Baylor,10,,wovga atayy,,home,0.0
Baylor,11,,Texas,Texas,home,1.0
Baylor,12,Nov. 21,Nov.21 Tech,,home,0.57
Baylor,13,Nov. 28,Nov.28 at Houston,Houston,away,1.0
Baylor,14,,#Atlanta,,home,0.57
Boise State,1,Sept. 5,at Oregon,Oregon,away,1.0
Boise State,2,Sept. 12,Memphis,Memphis,home,1.0
Boise State,3,Sept. 19,South Dakota,,home,
Boise State,4,Sept. 26,at Western Michigan,Western Michigan,away,1.0
Boise State,5,Oct. 3,Utah State,Utah State,home,1.0
Boise State,6,Oct. 10,at Fresno State,Fresno State,away,1.0
Boise State,7,Oct. 24,at Washington State,Washington State,away,1.0
Boise State,8,Oct. 31,Texas State,Texas State,home,1.0
Boise State,9,Nov. 7,at Colorado State,Colorado State,away,1.0
Boise State,10,Nov. 14,Oregon State,Oregon State,home,1.0
Boise State,11,Nov. 21,San Diego State,San Diego State,home,1.0
Boise State,12,Nov. 28,at Utah State #,Utah State,away,1.0
Boston College,1,Sept. 5,sept.5 = at Cincinnati,Cincinnati,away,0.91
Boston College,2,Sept. 11,sept. 11 Rutgers,Rutgers,home,1.0
Boston College,3,Sept. 26,Sept.26 Virginia Tech,Virginia Tech,home,1.0
Boston College,4,Oct. 3,Oct.3 = at SMU,SMU,away,0.75
Boston College,5,,Oct.l/ Pitt,,home,0.0
Boston College,6,Oct. 24,Oct.24 atGeorgia Tech,Georgia Tech,away,0.92
Boston College,7,Oct. 31,Oct.31 at Duke,Duke,away,1.0
Boston College,8,Nov. 7,Nov.7 Florida State,Florida State,home,1.0
Boston College,9,Nov. 14,Nov.14 atNotre Dame,Notre Dame,away,0.91
Boston College,10,Nov. 21,Nov21 Syracuse,Syracuse,home,1.0
Boston College,11,Nov. 28,Nov28 at Miami (Fla.),Miami (Fla.),away,0.92
Bowling Green,1,Sept. 5,Tarleton State,Oregon State,home,1.0
Bowling Green,2,Sept. 12,at Nebraska,Nebraska,away,1.0
Bowling Green,3,Sept. 19,at Iowa State,Iowa State,away,1.0
Bowling Green,4,Sept. 26,South Florida,South Florida,home,1.0
Bowling Green,5,Oct. 3,at Miami (Ohio),Miami (Ohio),away,1.0
Bowling Green,6,Oct. 10,Sacramento State,Sacramento State,home,1.0
Bowling Green,7,Oct. 17,Ball State,Ball State,home,1.0
Bowling Green,8,Oct. 24,at Buffalo,Buffalo,away,1.0
Bowling Green,9,Oct. 31,at Western Michigan,Western Michigan,away,1.0
Bowling Green,10,Nov. 10,Kent State,Kent State,home,1.0
Bowling Green,11,Nov. 18,at Toledo,Toledo,away,1.0
Bowling Green,12,Nov. 28,UMass,UMass,home,1.0
Buffalo,1,Sept. 3,UAlbany,,home,
Buffalo,2,Sept. 12,at FIU,FIU,away,1.0
Buffalo,3,Sept. 19,at Penn State,Penn State,away,1.0
Buffalo,4,Sept. 26,Robert Morris,,home,
Buffalo,5,Oct. 3,Western Michigan,Western Michigan,home,1.0
Buffalo,6,Oct. 10,at Toledo,Toledo,away,1.0
Buffalo,7,Oct. 17,UMass,UMass,home,1.0
Buffalo,8,Oct. 24,Bowling Green,Bowling Green,home,1.0
Buffalo,9,Nov. 3,at Miami (Ohio),Miami (Ohio),away,1.0
Buffalo,10,Nov. 11,at Ball State,Ball State,away,1.0
Buffalo,11,Nov. 18,Central Michigan,Central Michigan,home,1.0
Buffalo,12,Nov. 27,at Akron,Akron,away,1.0
Cal,1,Sept. 5,Sept. 5 UCLA,UCLA,home,1.0
Cal,2,,cept. 12 atsyracuse,,home,0.0
Cal,3,Sept. 19,sept. 19 Wagner,,home,0.0
Cal,4,,"Sept, 29 Clemson",,home,0.64
Cal,5,,7 } vinin,,home,0.0
Cal,6,,te seas,,home,0.44
Cal,7,Oct. 17,Oct. 17 Wake Forest,Wake Forest,home,1.0
Cal,8,Oct. 24,Oct 24 at SMU,SMU,away,1.0
Cal,9,,pt at we state,,away,0.67
Cal,10,Nov. 14,Nov. 14 atVirginia,Virginia,away,0.89
Cal,11,,Nov. = 21 Stanford,,home,0.64
Cal,12,,28 Pitt,,home,0.73
Central Michigan,1,Sept. 5,at New Mexico,New Mexico,away,1.0
Central Michigan,2,Sept. 12,Colgate,,home,
Central Michigan,3,Sept. 19,Wyoming,Wyoming,home,1.0
Central Michigan,4,Sept. 26,at Miami (Fla.),Miami (Fla.),away,1.0
Central Michigan,5,Oct. 3,Akron,Akron,home,1.0
Central Michigan,6,Oct. 10,at Ohio,Ohio,away,1.0
Central Michigan,7,Oct. 17,Western Michigan,Western Michigan,home,1.0
Central Michigan,8,Oct. 24,Miami (Ohio),Miami (Ohio),home,1.0
Central Michigan,9,Nov. 4,Eastern Michigan #,Eastern Michigan,home,1.0
Central Michigan,10,Nov. 11,Sacramento State,Sacramento State,home,1.0
Central Michigan,11,Nov. 18,at Buffalo,Buffalo,away,1.0
Central Michigan,12,Nov. 28,at Ball State,Ball State,away,1.0
Charlotte,1,Sept. 5,Sept5 The Citadel,,home,0.0
Charlotte,2,Sept. 12,Sept.12 atOle Miss,Ole Miss,away,0.89
Charlotte,3,Sept. 19,Sept.19 atApp state,Utah State,away,0.76
Charlotte,4,Sept. 26,Sept.26 Louisiana @j,Louisiana,home,0.86
Charlotte,5,Oct. 3,Oct.3 Memphis,Memphis,home,1.0
Charlotte,6,,Dott at North Texas,North Texas,away,0.81
Charlotte,7,,I?,,home,0.0
Charlotte,8,,Oct at Temple,Temple,away,0.75
Charlotte,9,Oct. 30,Oct 30 Tulane,Tulane,home,1.0
Charlotte,10,Nov. 7,Nov7 at UAB,UAB,away,1.0
Charlotte,11,,14,,home,0.0
Charlotte,12,,Noy Fast Caroline,,home,0.73
Charlotte,13,Nov. 21,~“Nov.21 = at Tulsa,,away,0.67
Charlotte,14,Nov. 28,Nov.28 = Navy,Navy,home,0.8
Cincinnati,1,Sept. 5,sept.5 Boston College,Boston College,home,1.0
Cincinnati,2,Sept. 12,Sept. 12 Western Carolina,East Carolina,home,0.83
Cincinnati,3,Sept. 19,sept. 19 Miami (Ohio) #,Miami (Ohio),home,1.0
Cincinnati,4,Sept. 26,sept. 26 Kansas State,Kansas State,home,1.0
Cincinnati,5,Oct. 3,Oct.3 atArizona,Arizona,away,0.88
Cincinnati,6,Oct. 17,Oct.17 at West Virginia,West Virginia,away,1.0
Cincinnati,7,Oct. 24,Oct.24 Texas Tech,Texas Tech,home,1.0
Cincinnati,8,Oct. 31,Oct.31 Utah,Utah,home,1.0
Cincinnati,9,Nov. 7,Nov.7 atHouston,Houston,away,0.88
Cincinnati,10,,i ; slewig,,home,0.0
Cincinnati,11,,Noy,,home,0.57
Cincinnati,12,,98 at BY,,away,0.0
Cincinnati,13,,#TOL Stadium,,home,0.0
Clemson,1,Sept. 5,sSept.5 = at LSU,,away,0.6
Clemson,2,,—_ ae “ne,,home,0.0
Clemson,3,,ae ept. orth Carolina,North Carolina,home,0.76
Clemson,4,,ia ra,,home,0.0
Clemson,5,,Qet.3 Miami a (Fla.),,home,0.69
Clemson,6,Oct. 17,Oct.17 Charleston Southern,,home,0.57
Clemson,7,,QUcl24 Virginia Tech,Virginia Tech,home,0.79
Clemson,8,Oct. 31,Oct.31 at Florida State,Florida State,away,1.0
Clemson,9,,7 at Syracuse,Syracuse,away,0.89
Clemson,10,Nov. 14,Nov.14 Georgia Tech,Georgia Tech,home,1.0
Clemson,11,Nov. 21,Nov21 atDuke,Duke,away,0.8
Clemson,12,Nov. 28,Nov.28 south Carolina,South Carolina,home,1.0
Clemson,13,,HeadCoach: Dabo Swinney - Record,,home,0.0
Coastal Carolina,1,Sept. 5,Sept.5 at West Virginia,West Virginia,away,1.0
Coastal Carolina,2,,Sept|2 Fordham,,home,0.59
Coastal Carolina,3,,an - —,,home,0.0
Coastal Carolina,4,,24,,home,0.0
Coastal Carolina,5,,ept. Liberty,Liberty,home,0.78
Coastal Carolina,6,,Qot.3 Georgia Souther,Georgia Southern,home,0.81
Coastal Carolina,7,Oct. 10,Oct.10 atMarshall,Marshall,away,0.89
Coastal Carolina,8,Oct. 16,Oct. 16 Appalachian State,Appalachian State,home,1.0
Coastal Carolina,9,,Oot 31 atGeorgia State,,away,0.74
Coastal Carolina,10,,a7 Aid nominign,,home,0.59
Coastal Carolina,11,,Noy.14 Arkansas State,Arkansas State,home,0.8
Coastal Carolina,12,Nov. 21,Nov.21 atLouisiana,Louisiana,away,0.9
Coastal Carolina,13,Nov. 28,Nov.28 atJames Madison,James Madison,away,0.93
Colorado,1,,group comes,,home,0.0
Colorado,2,,some momentum,,home,0.0
Colorado,3,,2026 SCH inked,,home,0.0
Colorado,4,,== : ets,,home,0.0
Colorado,5,,oe eer otate,,home,0.61
Colorado,6,Sept. 9,Sept 9 at Horinwestern,Northwestern,away,0.75
Colorado,7,,ees at Baylor,Baylor,away,0.75
Colorado,8,,ee exas lech,,home,0.73
Colorado,9,,iov.7,,home,0.0
Colorado,10,,at Arizona State,Arizona State,away,1.0
Colorado,11,,~Nov.l4 Houston,,home,0.64
Colorado,12,Nov. 21,Nov.21 at Cincinnati,Cincinnati,away,1.0
Colorado,13,Nov. 28,Nov.28 UCT,,home,0.67
Colorado State,1,Sept. 5,sept.5 Wyoming,Wyoming,home,1.0
Colorado State,2,Sept. 12,Sept.12 Southern Utah,,home,0.69
Colorado State,3,,septs BYU,,home,0.0
Colorado State,4,,vepl2b atUIsn,,away,0.0
Colorado State,5,,UclJ3 Oregon state,Oregon State,home,0.8
Colorado State,6,,Uctl” at lexas otate,,away,0.71
Colorado State,7,,Det.24 San Diego | state,San Diego State,home,0.81
Colorado State,8,,Vets atUtah state,,away,0.74
Colorado State,9,,St,,home,0.0
Colorado State,10,,ov.14 at Washington,Washington,away,0.77
Colorado State,11,,NORAE atrresno state,,home,0.69
Colorado State,12,,Texas,Texas,home,1.0
Colorado State,13,Nov. 28,Nov.28 State #,NC State,home,0.77
Colorado State,14,,#Projected Flex Opponent,,home,0.0
Delaware,1,Sept. 3,Sept.3 Merrimack,,home,0.0
Delaware,2,Sept. 12,Sept.12 at Vanderbilt,Vanderbilt,away,1.0
Delaware,3,,SePLIS CoastalCarotina,,home,0.74
Delaware,4,Sept. 2,sept. 2b at Virginia,Virginia,away,0.89
Delaware,5,Oct. 2,Uct. 2 Liberty,Liberty,home,1.0
Delaware,6,Oct. 13,Oct.13 at Middle Tenn,Middle Tennessee,away,0.81
Delaware,7,Oct. 20,Oct.20 Missouri State,Missouri State,home,1.0
Delaware,8,Oct. 2,Uct.2/. at WKU,WKU,away,0.75
Delaware,9,,Nov./ atKennesaw State,Kennesaw State,away,0.78
Delaware,10,Nov. 14,Nov.14 FLU,,home,0.67
Delaware,11,Nov. 21,Nov.21 atNew Mexico State,New Mexico State,away,0.94
Delaware,12,Nov. 28,Nov. 28 Jacksonville State,Jacksonville State,home,1.0
Duke,1,Sept. 5,Sept.5 Tulane,Tulane,home,1.0
Duke,2,,(Sepa at litinas,,away,0.0
Duke,3,,"— ——""",,home,0.0
Duke,4,,"ept, o illiam & Mar",,home,0.0
Duke,5,Oct. 10,Oct.10 atGeorgia “ES lech,,away,0.73
Duke,6,,17,,home,0.0
Duke,7,,pet North Carolina,North Carolina,home,0.88
Duke,8,,Qet.24 at Virginia,West Virginia,away,0.79
Duke,9,Oct. 31,~Oct.31 Boston College,Boston College,home,0.93
Duke,10,,Nov.’ atNC State,,away,0.67
Duke,11,,Novl4 at Miami (Fla,,away,0.71
Duke,12,Nov. 2,Nov.2l_ Clemson,Clemson,home,0.82
Duke,13,Nov. 28,Nov.28 at Wake Forest,Wake Forest,away,1.0
Duke,14,,Be,,home,0.0
East Carolina,1,Sept. 5,«Sept.5 atAlabama,Alabama,away,0.78
East Carolina,2,Sept. 12,sept. 12 Appalachian State,Appalachian State,home,1.0
East Carolina,3,,eo = ept.19 a ominion ci,,home,0.0
East Carolina,4,,o6 NC Central,,home,0.0
East Carolina,5,,etn Rice,,home,0.67
East Carolina,6,Oct. 15,Oct.15 atUAB,UAB,away,0.75
East Carolina,7,Oct. 22,Oct.22 atMemphis,Memphis,away,0.88
East Carolina,8,Oct. 31,Oct.31 Temple,Temple,home,1.0
East Carolina,9,Nov. 6,Nov.6 South Florida,South Florida,home,1.0
East Carolina,10,Nov. 14,Nov.14 atCharlotte,Charlotte,away,0.9
East Carolina,11,Nov. 21,Nov. 21 atArmy,Army,away,0.8
East Carolina,12,Nov. 28,Nov.28 Horida Atlantic,Florida Atlantic,home,0.9
East Carolina,13,,Me,,home,0.0
Eastern Michigan,1,,Sacramento state,Sacramento State,home,1.0
Eastern Michigan,2,Sept. 4,sept.4 San Jose State,San Jose State,home,1.0
Eastern Michigan,3,,Sept. l2 atMichiganstate,,away,0.7
Eastern Michigan,4,,ee at Wisconsin,Wisconsin,away,0.86
Eastern Michigan,5,Sept. 26,SePt.26 Lindenwood,,home,0.0
Eastern Michigan,6,,Cone ALU Mass,,home,0.56
Eastern Michigan,7,,a a,,home,0.0
Eastern Michigan,8,,Be Central Michigand,Central Michigan,home,0.89
Eastern Michigan,9,,yy at W. Michigan,Michigan,away,0.76
Eastern Michigan,10,,Noy 24 Kent State,,home,0.74
Eastern Michigan,11,,#etroit,,home,0.0
FIU,1,Sept. 5,Sept.5 atSouth Florida,South Florida,away,0.93
FIU,2,,Sept l2 Buttalo,,home,0.0
FIU,3,,“Pe ¥ atFlorida Atlantic,Florida Atlantic,away,0.8
FIU,4,Sept. 26,Sept. 26 Long Island,,home,0.0
FIU,5,,Qet.7 New Mexico State,New Mexico State,home,0.84
FIU,6,Oct. 13,~Oct.13 = atJacksonville | State,Jacksonville State,away,0.86
FIU,7,Oct. 20,Oct.20 Middle Tennessee,Middle Tennessee,home,1.0
FIU,8,Oct. 31,Oct.31 at Liberty,Liberty,away,1.0
FIU,9,,Be Missouri State,Missouri State,home,0.9
FIU,10,,Noyi4 atDelaware,,away,0.67
FIU,11,Nov. 2,Nov.2l atKennesawstate,Kennesaw State,away,0.84
FIU,12,Nov. 28,Nov. 28 Sam Houston,Sam Houston,home,1.0
Florida,1,Sept. 5,Sept.5 Florida Atlantic,Florida Atlantic,home,1.0
Florida,2,Sept. 12,Sept.12 Campbell,,home,0.0
Florida,3,,Sept. at Auburn,,away,0.71
Florida,4,Sept. 26,Sept. 26 Ole Miss,Ole Miss,home,1.0
Florida,5,Oct. 3,Oct.3 atMissour,Missouri,away,0.82
Florida,6,Oct. 10,Oct.10 South Caroline,South Carolina,home,0.93
Florida,7,Oct. 17,Oct.17 atTexas,Texas,away,0.83
Florida,8,Oct. 3,Oct.3l vs. Georgia #,Georgia,neutral,0.88
Florida,9,,Nov? Oklahoma,Oklahoma,home,0.76
Florida,10,,Nov.l4 atKentucky,,away,0.64
Florida,11,Nov. 21,“Nov.21 = Vanderbilt,Vanderbilt,home,0.83
Florida,12,Nov. 28,Nov.28 atFlorida State,Florida State,away,0.93
Florida,13,,#Atlanta,,home,0.57
Florida Atlantic,1,Sept. 5,Sept.5 atHlorida,Florida,away,0.75
Florida Atlantic,2,Sept. 12,Sept.12 Navy,Navy,home,1.0
Florida Atlantic,3,Sept. 19,Sept.19 FIU,FIU,home,1.0
Florida Atlantic,4,Sept. 26,Sept.26 at ULM,ULM,away,1.0
Florida Atlantic,5,Oct. 5,Uct.5 Texas Southern,,home,0.73
Florida Atlantic,6,Oct. 17,Oct.17 atArmy,Army,away,0.8
Florida Atlantic,7,Oct. 24,“Oct.24 Rice,Rice,home,0.8
Florida Atlantic,8,Oct. 29,Oct.29 at North Texas,North Texas,away,1.0
Florida Atlantic,9,,Novo UTSA,,home,0.62
Florida Atlantic,10,,Nov.l4 atlulsa,,home,0.0
Florida Atlantic,11,Nov. 21,Nov.21 South Florida,South Florida,home,1.0
Florida Atlantic,12,Nov. 28,Nov.28 atEast Carolina,East Carolina,away,0.93
Florida State,1,Aug. 29,New Mexico State,New Mexico State,home,1.0
Florida State,2,Sept. 7,SMU,SMU,home,1.0
Florida State,3,Sept. 19,at Alabama,Alabama,away,1.0
Florida State,4,Sept. 26,Central Arkansas,,home,
Florida State,5,Oct. 3,Virginia,Virginia,home,1.0
Florida State,6,Oct. 9,at Louisville,Louisville,away,1.0
Florida State,7,Oct. 17,at Miami (Fla.),Miami (Fla.),away,1.0
Florida State,8,Oct. 31,Clemson,Clemson,home,1.0
Florida State,9,Nov. 7,at Boston College,Boston College,away,1.0
Florida State,10,Nov. 13,at Pitt,Pitt,away,1.0
Florida State,11,Nov. 21,NC State,NC State,home,1.0
Florida State,12,Nov. 27,Florida,Florida,home,1.0
Fresno State,1,Sept. 5,at USC,USC,away,1.0
Fresno State,2,Sept. 12,Sacramento State,Sacramento State,home,1.0
Fresno State,3,Sept. 19,at San Jose State,San Jose State,away,1.0
Fresno State,4,Sept. 26,Rice,Rice,home,1.0
Fresno State,5,Oct. 3,at Washington State,Washington State,away,1.0
Fresno State,6,Oct. 10,Boise State,Boise State,home,1.0
Fresno State,7,Oct. 17,at San Diego State,San Diego State,away,1.0
Fresno State,8,Oct. 31,Oregon State,Oregon State,home,1.0
Fresno State,9,Nov. 7,at Utah State,Utah State,away,1.0
Fresno State,10,Nov. 14,at Texas State,Texas State,away,1.0
Fresno State,11,Nov. 21,Colorado State,Colorado State,home,1.0
Fresno State,12,Nov. 28,San Diego State #,San Diego State,home,1.0
Georgia,1,Sept. 5,sept.5 Tennessee state,Tennessee,home,0.75
Georgia,2,Sept. 12,Sept.12 WesternKentucky,,home,0.7
Georgia,3,,%ePt!9 at Arkansas,,away,0.73
Georgia,4,,eee Ontanome,,home,0.0
